,Source,Target,Label
713,146,444,1
715,147,604,1
717,147,606,1
719,148,18,1
721,148,303,1
723,148,446,1
725,149,609,1
728,149,612,1
730,150,204,1
732,150,206,1
734,151,93,1
736,151,447,1
738,151,449,1
740,152,34,1
742,152,36,1
744,153,18,1
746,153,155,1
748,153,209,1
750,154,6,1
752,154,20,1
754,155,18,1
756,155,154,1
758,155,614,1
760,156,48,1
762,156,367,1
764,157,30,1
766,157,49,1
768,157,212,1
770,158,450,1
772,158,452,1
774,159,34,1
776,159,54,1
778,159,160,1
780,160,60,1
782,160,312,1
784,161,60,1
786,161,312,1
788,161,315,1
790,162,53,1
792,162,163,1
794,163,53,1
796,163,60,1
798,163,162,1
800,164,228,1
802,164,455,1
804,165,83,1
806,165,167,1
808,165,618,1
810,166,165,1
812,166,617,1
814,167,54,1
816,167,166,1
818,167,458,1
820,168,17,1
822,168,85,1
824,169,17,1
826,169,85,1
828,169,459,1
830,170,214,1
832,170,216,1
834,171,22,1
836,171,39,1
838,171,87,1
840,172,90,1
842,172,460,1
844,173,172,1
846,173,317,1
848,173,319,1
850,174,56,1
852,174,95,1
854,175,63,1
856,175,100,1
858,175,307,1
860,176,8,1
862,176,462,1
864,177,63,1
866,177,100,1
868,177,218,1
870,178,102,1
872,178,179,1
874,179,71,1
876,179,104,1
878,179,299,1
880,180,19,1
882,180,109,1
884,181,78,1
886,181,112,1
888,181,319,1
890,182,20,1
892,182,112,1
894,183,13,1
896,183,23,1
898,183,81,1
900,184,118,1
902,184,185,1
904,185,98,1
906,185,119,1
908,185,320,1
910,186,149,1
912,186,465,1
914,187,78,1
916,187,128,1
918,187,322,1
920,188,220,1
922,188,222,1
924,189,132,1
926,189,190,1
928,189,621,1
930,190,189,1
932,190,468,1
934,191,194,1
936,191,470,1
938,191,623,1
940,192,193,1
942,192,225,1
944,193,8,1
946,193,133,1
948,193,224,1
951,194,470,1
953,194,472,1
955,195,625,1
957,195,627,1
959,196,14,1
961,196,449,1
963,196,630,1
965,197,228,1
967,197,230,1
969,198,13,1
971,198,141,1
973,198,232,1
975,199,140,1
977,199,198,1
979,200,631,1
981,200,633,1
983,200,635,1
985,201,78,1
987,201,181,1
989,202,20,1
991,202,142,1
993,202,638,1
995,203,142,1
997,203,269,1
999,204,150,1
1001,204,247,1
1003,204,491,1
1005,205,206,1
1007,205,639,1
1009,206,150,1
1011,206,207,1
1013,206,234,1
1015,207,206,1
1017,207,641,1
1019,208,18,1
1021,208,153,1
1023,208,209,1
1025,209,36,1
1027,209,155,1
1029,210,7,1
1031,210,20,1
1033,210,608,1
1035,211,157,1
1037,211,643,1
1039,212,112,1
1041,212,646,1
1043,212,648,1
1045,213,161,1
1047,213,314,1
1050,214,216,1
1052,214,650,1
1054,215,170,1
1056,215,324,1
1058,215,326,1
1060,216,217,1
1062,216,476,1
1064,217,216,1
1067,217,329,1
1069,218,99,1
1071,218,177,1
1074,219,121,1
1076,219,220,1
1079,221,222,1
1081,221,236,1
1083,221,249,1
1085,222,221,1
1087,222,236,1
1089,223,112,1
1091,223,238,1
1093,223,240,1
1095,224,56,1
1097,224,193,1
1099,225,192,1
1101,225,654,1
1103,225,656,1
1105,226,241,1
1107,226,243,1
1109,227,380,1
1111,227,658,1
1113,227,660,1
1115,228,290,1
1117,228,455,1
1119,229,197,1
1121,229,332,1
1123,229,334,1
1125,230,335,1
1127,230,337,1
1129,231,480,1
1131,231,482,1
1133,231,484,1
1135,232,23,1
1137,232,198,1
1139,233,206,1
1141,233,248,1
1143,233,662,1
1145,234,206,1
1147,234,247,1
1149,235,76,1
1151,235,121,1
1153,235,237,1
1155,236,222,1
1157,236,237,1
1159,237,28,1
1161,237,78,1
1163,237,222,1
1165,238,340,1
1167,238,342,1
1169,239,223,1
1171,239,240,1
1173,239,485,1
1175,240,238,1
1177,240,485,1
1179,242,226,1
1181,242,244,1
1184,243,33,1
1186,243,488,1
1188,243,490,1
1190,244,250,1
1192,244,252,1
1194,245,198,1
1196,245,254,1
1198,245,256,1
1200,246,234,1
1202,246,491,1
1204,247,150,1
1206,247,234,1
1208,247,258,1
1210,248,234,1
1212,248,345,1
1214,249,220,1
1216,249,238,1
1218,249,493,1
1220,250,244,1
1222,250,252,1
1224,251,241,1
1226,251,250,1
1228,251,347,1
1230,252,244,1
1232,252,347,1
1234,253,241,1
1236,253,251,1
1238,253,347,1
1240,254,232,1
1242,254,256,1
1244,255,198,1
1246,255,232,1
1248,255,348,1
1250,256,232,1
1252,256,259,1
1254,257,150,1
1256,257,247,1
1258,257,495,1
1260,258,496,1
1263,258,499,1
1265,259,254,1
1267,259,256,1
1269,260,12,1
1271,260,262,1
1273,260,665,1
1275,261,260,1
1277,261,264,1
1279,262,12,1
1281,262,264,1
1283,262,666,1
1285,263,260,1
1287,263,665,1
1289,264,12,1
1291,264,263,1
1293,264,666,1
1295,265,26,1
1297,265,500,1
1299,266,11,1
1301,266,267,1
1303,266,502,1
1305,267,26,1
1307,267,268,1
1309,268,266,1
1311,268,382,1
1313,268,385,1
1315,269,23,1
1317,269,37,1
1319,270,38,1
1321,270,272,1
1323,270,351,1
1325,271,114,1
1327,271,272,1
1329,273,38,1
1331,273,272,1
1334,274,34,1
1339,275,34,1
1341,275,276,1
1343,275,352,1
1345,276,52,1
1347,276,352,1
1350,277,52,1
1352,277,276,1
1354,278,34,1
1356,278,275,1
1358,278,668,1
1360,279,670,1
1362,279,672,1
1364,280,294,1
1366,280,675,1
1368,280,677,1
1370,281,867,1
1375,282,74,1
1380,283,284,1
1385,284,121,1
1387,284,305,1
1389,285,76,1
1391,285,284,1
1393,285,353,1
1395,286,284,1
1397,286,355,1
1399,288,81,1
1401,288,353,1
1403,288,357,1
1405,290,8,1
1407,290,504,1
1409,291,82,1
1411,291,292,1
1413,291,678,1
1415,292,290,1
1417,292,293,1
1419,293,82,1
1421,293,291,1
1423,293,358,1
1425,294,48,1
1427,294,367,1
1429,295,35,1
1431,295,91,1
1433,295,296,1
1435,296,91,1
1437,296,295,1
1439,298,63,1
1441,298,360,1
1443,298,362,1
1445,299,104,1
1447,299,179,1
1449,301,15,1
1451,301,508,1
1453,301,510,1
1455,302,210,1
1457,302,481,1
1459,303,21,1
1462,303,364,1
1464,305,28,1
1466,305,78,1
1468,305,679,1
1470,306,121,1
1472,306,285,1
1474,307,63,1
1476,307,100,1
1479,308,63,1
1481,308,100,1
1483,308,366,1
1485,309,143,1
1487,309,147,1
1489,310,145,1
1494,311,18,1
1496,311,680,1
1498,311,682,1
1500,313,8,1
1502,313,683,1
1505,314,161,1
1507,314,313,1
1509,315,8,1
1511,315,685,1
1513,315,687,1
1515,316,405,1
1520,317,1046,1
1522,317,1048,1
1524,318,346,1
1526,318,368,1
1528,318,370,1
1530,319,158,1
1534,320,98,1
1536,320,119,1
1538,320,185,1
1540,321,113,1
1542,321,187,1
1544,322,23,1
1546,322,187,1
1549,324,215,1
1551,324,514,1
1553,324,516,1
1555,325,323,1
1557,325,372,1
1559,326,215,1
1565,327,688,1
1567,327,690,1
1569,329,217,1
1571,329,688,1
1575,330,374,1
1577,330,376,1
1579,331,33,1
1581,331,151,1
1583,331,518,1
1585,332,378,1
1587,332,380,1
1589,333,336,1
1591,333,342,1
1593,333,481,1
1595,334,455,1
1597,334,481,1
1600,335,337,1
1605,336,480,1
1607,336,785,1
1609,337,303,1
1615,338,336,1
1617,338,1152,1
1620,339,238,1
1622,339,519,1
1624,340,692,1
1627,340,695,1
1629,341,521,1
1631,341,523,1
1633,341,525,1
1635,342,481,1
1637,342,885,1
1639,343,238,1
1641,343,249,1
1643,343,697,1
1645,344,527,1
1647,344,529,1
1649,345,63,1
1651,345,346,1
1653,345,837,1
1655,346,367,1
1657,346,369,1
1659,347,241,1
1661,347,251,1
1663,347,487,1
1665,348,232,1
1667,348,255,1
1669,349,268,1
1671,349,383,1
1673,349,385,1
1677,350,701,1
1679,352,34,1
1681,352,275,1
1683,352,278,1
1685,353,284,1
1687,353,386,1
1689,354,284,1
1691,354,286,1
1693,354,357,1
1695,355,286,1
1697,355,703,1
1699,356,286,1
1701,356,531,1
1703,356,533,1
1705,357,76,1
1707,357,81,1
1709,358,290,1
1711,358,678,1
1713,358,706,1
1715,359,307,1
1717,359,1043,1
1720,360,465,1
1722,360,535,1
1724,361,298,1
1726,361,366,1
1728,361,389,1
1730,362,100,1
1732,362,445,1
1735,363,708,1
1737,363,710,1
1740,364,365,1
1742,364,391,1
1744,365,303,1
1746,365,390,1
1748,365,392,1
1750,366,98,1
1752,366,100,1
1754,367,30,1
1756,367,346,1
1758,367,369,1
1760,368,156,1
1762,368,367,1
1764,369,346,1
1766,369,368,1
1768,369,395,1
1770,370,367,1
1772,370,396,1
1774,371,325,1
1776,371,893,1
1780,372,366,1
1782,372,399,1
1784,373,712,1
1786,373,714,1
1788,373,716,1
1790,374,330,1
1792,374,718,1
1794,375,217,1
1796,375,330,1
1798,375,401,1
1800,376,537,1
1802,376,539,1
1804,377,330,1
1806,377,721,1
1808,377,723,1
1810,378,379,1
1812,378,724,1
1814,379,332,1
1816,379,785,1
1819,380,227,1
1821,380,659,1
1823,380,1163,1
1825,381,854,1
1829,382,268,1
1831,382,383,1
1833,382,385,1
1835,383,349,1
1837,383,384,1
1839,384,268,1
1841,384,382,1
1843,384,385,1
1845,385,349,1
1847,385,383,1
1849,386,28,1
1851,386,81,1
1853,386,541,1
1855,387,285,1
1857,387,353,1
1859,388,63,1
1861,388,361,1
1863,388,389,1
1865,389,97,1
1867,389,361,1
1870,390,364,1
1872,390,391,1
1874,391,303,1
1876,391,365,1
1878,391,404,1
1880,392,364,1
1882,392,390,1
1884,393,294,1
1886,393,367,1
1888,393,412,1
1890,394,367,1
1892,394,369,1
1894,395,294,1
1896,395,367,1
1898,395,394,1
1900,396,370,1
1902,396,406,1
1904,397,346,1
1906,397,368,1
1908,397,411,1
1910,398,372,1
1912,398,543,1
1914,400,372,1
1920,401,726,1
1922,401,728,1
1924,402,11,1
1926,402,268,1
1928,402,546,1
1934,404,80,1
1937,404,409,1
1939,405,316,1
1941,405,398,1
1943,405,412,1
1945,406,396,1
1949,407,413,1
1951,407,415,1
1953,407,417,1
1955,408,409,1
1957,408,1177,1
1959,409,410,1
1961,409,731,1
1963,409,733,1
1965,410,730,1
1967,410,732,1
1969,411,294,1
1971,411,397,1
1973,411,412,1
1975,412,368,1
1977,412,405,1
1979,413,548,1
1981,413,550,1
1983,413,552,1
1985,414,735,1
1987,414,737,1
1989,415,739,1
1991,415,741,1
1993,415,743,1
1995,416,367,1
1997,416,369,1
2000,417,745,1
2002,417,747,1
2004,418,64,1
2006,418,66,1
2008,418,553,1
2010,419,66,1
2012,419,553,1
2014,420,33,1
2016,420,95,1
2020,421,78,1
2022,421,555,1
2024,422,77,1
2026,422,355,1
2030,423,424,1
2032,423,558,1
2034,424,77,1
2036,424,425,1
2038,424,558,1
2040,425,423,1
2042,425,557,1
2044,426,80,1
2049,427,18,1
2051,427,167,1
2053,427,750,1
2055,428,966,1
2059,429,33,1
2061,429,93,1
2063,429,95,1
2065,430,100,1
2067,430,751,1
2069,431,4,1
2071,431,75,1
2073,431,110,1
2075,432,435,1
2077,432,755,1
2079,433,114,1
2081,433,434,1
2083,433,756,1
2085,434,114,1
2087,434,433,1
2089,435,432,1
2091,435,755,1
2093,435,757,1
2095,436,1322,1
2100,437,438,1
2102,437,759,1
2104,438,120,1
2106,438,439,1
2108,438,761,1
2110,439,438,1
2112,439,561,1
2114,440,108,1
2116,440,126,1
2118,440,762,1
2120,441,129,1
2129,443,29,1
2131,443,763,1
2133,443,765,1
2135,444,143,1
2137,444,309,1
2139,445,18,1
2141,445,22,1
2144,446,148,1
2146,446,563,1
2148,446,565,1
2150,447,331,1
2152,447,518,1
2155,448,429,1
2157,448,766,1
2159,449,33,1
2161,449,1241,1
2165,450,158,1
2168,450,1183,1
2170,451,23,1
2172,451,158,1
2174,452,158,1
2179,453,158,1
2185,454,164,1
2187,454,455,1
2189,455,21,1
2191,455,23,1
2193,455,164,1
2195,456,164,1
2200,457,167,1
2204,458,167,1
2206,458,566,1
2208,458,568,1
2215,460,318,1
2217,460,461,1
2220,461,90,1
2222,461,460,1
2225,462,176,1
2227,462,569,1
2230,463,176,1
2232,463,569,1
2234,464,186,1
2236,464,769,1
2238,464,771,1
2240,465,464,1
2242,465,534,1
2244,466,465,1
2246,466,584,1
2250,467,194,1
2252,467,773,1
2254,468,190,1
2256,468,776,1
2258,468,778,1
2260,469,194,1
2262,469,1199,1
2265,470,194,1
2267,470,1201,1
2270,471,470,1
2272,471,571,1
2274,472,471,1
2276,472,572,1
2278,472,1203,1
2280,473,23,1
2284,475,216,1
2286,475,573,1
2288,475,575,1
2290,476,216,1
2292,476,819,1
2296,477,781,1
2298,477,783,1
2300,479,454,1
2302,479,481,1
2304,480,8,1
2306,480,479,1
2308,480,785,1
2310,481,21,1
2312,481,1241,1
2315,482,231,1
2317,482,1035,1
2320,483,480,1
2322,483,482,1
2324,484,99,1
2330,485,238,1
2332,485,240,1
2334,487,251,1
2339,488,243,1
2341,488,490,1
2343,488,577,1
2345,489,243,1
2347,489,821,1
2349,490,33,1
2351,490,488,1
2353,490,821,1
2355,491,204,1
2359,492,204,1
2361,492,661,1
2365,493,343,1
2370,494,244,1
2372,494,252,1
2374,495,204,1
2376,495,257,1
2380,496,258,1
2382,496,579,1
2391,498,788,1
2393,499,496,1
2395,499,580,1
2397,500,11,1
2399,500,501,1
2403,501,268,1
2405,501,384,1
2412,503,114,1
2417,504,7,1
2419,504,290,1
2421,504,505,1
2423,505,479,1
2425,505,1025,1
2428,506,53,1
2430,506,60,1
2432,507,299,1
2437,508,15,1
2439,508,301,1
2441,508,510,1
2443,509,107,1
2445,509,508,1
2447,510,107,1
2449,510,508,1
2451,510,581,1
2453,511,302,1
2458,512,95,1
2460,512,479,1
2462,513,324,1
2464,513,976,1
2468,514,330,1
2470,514,790,1
2472,515,324,1
2474,515,516,1
2477,516,324,1
2479,516,515,1
2482,517,33,1
2484,517,331,1
2486,517,518,1
2488,518,151,1
2490,518,447,1
2492,519,238,1
2494,519,520,1
2496,519,793,1
2498,520,339,1
2500,520,582,1
2502,521,341,1
2504,521,524,1
2506,521,794,1
2508,522,524,1
2510,522,794,1
2512,523,341,1
2514,523,525,1
2516,523,795,1
2518,524,794,1
2520,524,797,1
2522,525,238,1
2524,525,794,1
2527,526,344,1
2529,526,528,1
2531,526,799,1
2533,527,529,1
2535,527,1225,1
2538,528,526,1
2540,528,529,1
2542,529,344,1
2544,529,527,1
2546,529,801,1
2548,530,909,1
2553,531,532,1
2557,533,356,1
2559,533,532,1
2563,534,98,1
2565,534,466,1
2567,535,465,1
2569,535,536,1
2571,535,585,1
2573,536,465,1
2575,536,585,1
2577,537,376,1
2579,537,540,1
2581,537,587,1
2583,538,537,1
2585,538,586,1
2587,539,376,1
2589,539,538,1
2592,540,111,1
2594,540,330,1
2598,541,803,1
2600,541,805,1
2602,542,367,1
2604,542,398,1
2606,542,544,1
2608,543,398,1
2610,543,544,1
2613,544,398,1
2615,544,543,1
2618,545,268,1
2622,546,11,1
2624,546,382,1
2626,546,402,1
2628,547,346,1
2630,547,397,1
2632,548,413,1
2634,548,589,1
2636,548,1245,1
2638,549,548,1
2640,549,552,1
2642,550,413,1
2644,550,549,1
2646,550,807,1
2648,551,548,1
2650,551,807,1
2652,552,548,1
2654,552,589,1
2656,552,591,1
2658,553,98,1
2660,553,388,1
2663,554,64,1
2665,554,66,1
2673,556,28,1
2677,557,423,1
2679,557,558,1
2681,557,1240,1
2683,558,82,1
2685,558,423,1
2687,559,423,1
2689,559,557,1
2692,560,120,1
2694,560,439,1
2696,560,814,1
2698,561,809,1
2700,561,811,1
2702,562,439,1
2704,562,761,1
2706,562,814,1
2708,563,210,1
2710,563,564,1
2712,564,210,1
2714,564,563,1
2716,564,593,1
2718,566,512,1
2720,566,816,1
2722,567,18,1
2724,567,449,1
2726,567,1241,1
2728,568,458,1
2730,568,819,1
2732,569,176,1
2734,569,594,1
2738,570,481,1
2740,570,569,1
2742,572,470,1
2744,572,472,1
2746,572,599,1
2752,575,214,1
2754,575,475,1
2758,576,488,1
2760,576,490,1
2762,577,33,1
2764,577,489,1
2766,577,822,1
2768,578,244,1
2770,578,252,1
2772,579,204,1
2774,579,496,1
2776,579,580,1
2778,580,1217,1
2783,581,301,1
2785,581,509,1
2787,582,493,1
2790,582,825,1
2792,583,220,1
2794,583,239,1
2796,583,520,1
2798,584,466,1
2803,585,465,1
2805,585,536,1
2807,586,537,1
2809,586,587,1
2811,586,601,1
2813,587,586,1
2815,587,601,1
2817,588,590,1
2819,588,1242,1
2821,588,1244,1
2823,589,588,1
2825,589,1242,1
2827,590,588,1
2829,590,1242,1
2832,591,588,1
2835,591,1243,1
2837,592,18,1
2839,592,446,1
2841,592,828,1
2843,593,563,1
2845,593,829,1
2847,594,176,1
2849,594,481,1
2851,594,1673,1
2853,597,99,1
2855,597,570,1
2858,598,472,1
2860,598,926,1
2863,599,472,1
2865,599,572,1
2868,600,587,1
2870,600,831,1
2872,601,600,1
2874,601,831,1
2876,601,833,1
2878,602,601,1
2880,602,832,1
2882,603,29,1
2884,603,604,1
2886,603,834,1
2888,604,147,1
2890,604,605,1
2892,605,147,1
2894,605,604,1
2896,605,1719,1
2898,606,147,1
2900,606,604,1
2902,607,147,1
2904,607,605,1
2906,607,835,1
2908,608,210,1
2910,608,609,1
2912,609,210,1
2914,609,481,1
2916,609,1247,1
2927,612,5,1
2929,612,445,1
2931,612,837,1
2933,613,154,1
2935,613,614,1
2937,614,154,1
2939,614,613,1
2941,614,839,1
2943,615,48,1
2945,615,840,1
2947,616,35,1
2949,616,61,1
2952,617,18,1
2954,617,166,1
2956,617,618,1
2958,618,166,1
2962,619,165,1
2964,619,842,1
2966,619,844,1
2968,620,190,1
2970,620,778,1
2972,621,189,1
2974,621,1012,1
2977,622,194,1
2979,622,774,1
2983,623,469,1
2985,623,845,1
2987,624,33,1
2989,624,626,1
2991,624,848,1
2993,625,331,1
2995,625,848,1
2998,626,93,1
3000,626,847,1
3002,627,33,1
3004,627,331,1
3006,627,848,1
3008,628,517,1
3010,628,848,1
3013,629,19,1
3017,630,4,1
3019,630,124,1
3021,630,567,1
3023,631,632,1
3025,631,634,1
3027,632,13,1
3029,632,164,1
3031,632,317,1
3033,633,631,1
3035,633,634,1
3037,634,200,1
3039,634,632,1
3041,634,635,1
3043,635,631,1
3045,635,634,1
3048,636,302,1
3050,636,850,1
3052,637,142,1
3054,637,638,1
3056,637,853,1
3058,638,202,1
3060,638,852,1
3062,639,150,1
3064,639,640,1
3066,639,856,1
3068,640,205,1
3070,640,639,1
3073,641,207,1
3075,641,867,1
3082,643,211,1
3084,643,857,1
3086,643,859,1
3088,644,643,1
3090,644,858,1
3092,647,212,1
3094,647,646,1
3098,648,754,1
3100,648,1508,1
3103,649,650,1
3105,649,1726,1
3107,650,214,1
3110,650,1727,1
3113,651,649,1
3115,651,861,1
3117,652,100,1
3119,652,752,1
3124,654,1267,1
3126,654,1269,1
3132,656,654,1
3137,657,227,1
3139,657,863,1
3142,658,227,1
3148,659,380,1
3153,660,380,1
3158,661,492,1
3160,661,866,1
3162,662,661,1
3164,662,868,1
3166,662,870,1
3168,663,239,1
3170,663,485,1
3173,664,252,1
3175,664,578,1
3178,665,262,1
3180,665,264,1
3182,666,12,1
3184,666,262,1
3186,666,665,1
3188,668,8,1
3190,668,672,1
3193,669,100,1
3195,669,279,1
3197,670,279,1
3199,670,671,1
3201,670,971,1
3203,671,669,1
3205,671,871,1
3207,672,668,1
3209,672,1271,1
3213,673,99,1
3217,674,280,1
3220,674,676,1
3223,675,674,1
3225,675,1273,1
3227,677,280,1
3230,677,1274,1
3233,678,292,1
3235,678,358,1
3237,679,76,1
3239,679,285,1
3243,680,152,1
3247,681,18,1
3249,681,955,1
3253,682,36,1
3255,682,311,1
3258,683,313,1
3263,685,315,1
3267,686,161,1
3269,686,452,1
3273,687,315,1
3275,687,719,1
3278,688,689,1
3282,689,331,1
3284,689,688,1
3286,689,1284,1
3288,690,688,1
3292,691,452,1
3298,692,340,1
3300,692,874,1
3302,694,114,1
3307,695,114,1
3309,695,698,1
3313,696,481,1
3315,696,1158,1
3323,698,114,1
3325,698,877,1
3332,701,899,1
3338,702,880,1
3340,702,882,1
3342,703,481,1
3344,703,884,1
3346,703,886,1
3348,704,934,1
3353,705,292,1
3355,705,678,1
3357,706,290,1
3359,706,293,1
3361,706,678,1
3363,708,707,1
3365,708,710,1
3367,709,363,1
3369,709,710,1
3371,709,888,1
3373,710,708,1
3375,710,887,1
3377,712,373,1
3379,712,714,1
3382,713,215,1
3384,713,712,1
3386,713,715,1
3388,714,712,1
3390,714,717,1
3393,715,889,1
3395,715,891,1
3397,716,768,1
3403,717,893,1
3405,717,895,1
3407,718,330,1
3409,718,721,1
3411,718,723,1
3413,719,687,1
3415,719,1030,1
3417,720,330,1
3419,720,718,1
3421,720,723,1
3423,721,377,1
3425,721,722,1
3427,722,330,1
3429,722,720,1
3431,722,723,1
3433,723,377,1
3435,723,721,1
3437,724,302,1
3439,724,897,1
3441,724,899,1
3443,725,785,1
3445,725,901,1
3447,726,401,1
3449,726,903,1
3452,727,401,1
3457,728,401,1
3459,728,729,1
3462,729,401,1
3464,729,728,1
3466,729,904,1
3468,730,410,1
3472,731,730,1
3474,731,1178,1
3476,731,1313,1
3478,732,731,1
3480,732,1312,1
3483,733,409,1
3485,733,730,1
3488,734,735,1
3490,734,738,1
3493,735,734,1
3495,735,738,1
3497,736,414,1
3499,736,735,1
3502,737,414,1
3504,737,735,1
3506,737,1314,1
3508,738,736,1
3512,739,415,1
3514,739,741,1
3516,739,743,1
3518,740,739,1
3522,741,740,1
3524,741,907,1
3526,741,909,1
3528,742,739,1
3530,742,743,1
3533,743,415,1
3535,743,742,1
3538,744,746,1
3540,744,910,1
3542,745,417,1
3544,745,747,1
3547,746,417,1
3549,746,745,1
3551,746,913,1
3553,747,1004,1
3555,747,1053,1
3557,748,910,1
3559,748,1006,1
3561,748,1757,1
